symptom_ID,subjective_ID
1,1
1,2
1,3
1,4
2,4
2,5
2,6
2,7
2,8
2,53
3,7
3,9
3,10
3,11
3,12
3,17
4,2
4,4
4,13
4,14
4,15
4,16
4,17
5,1
5,3
5,4
5,5
5,6
5,18
6,1
6,2
6,4
6,6
6,19
7,1
7,3
7,20
7,21
8,11
8,17
8,22
8,23
8,42
9,24
9,25
9,26
9,27
9,38
10,6
10,7
10,9
10,19
10,28
10,29
10,31
11,1
11,2
11,6
11,14
11,17
11,30
12,1
12,2
12,12
12,30
12,54
13,1
13,3
13,4
13,6
13,7
13,19
13,29
13,31
13,54
14,2
14,4
14,7
14,9
14,12
14,31
14,32
15,2
15,3
15,7
15,19
15,33
15,34
15,35
16,2
16,3
16,4
16,7
16,19
16,33
17,2
17,16
17,34
17,36
18,1
18,3
18,9
18,37
19,9
19,36
19,37
19,38
19,39
19,40
20,1
20,7
20,9
20,10
20,37
20,38
21,1
21,2
21,3
21,6
21,7
21,9
21,53
22,7
22,19
22,23
22,25
22,41
22,42
22,49
23,1
23,14
23,17
23,24
23,29
23,43
23,44
24,13
24,14
24,15
24,33
24,45
25,1
25,5
25,13
25,17
25,24
25,27
25,37
25,38
25,39
26,1
26,5
26,13
26,17
26,19
26,21
26,27
26,37
26,38
26,39
27,1
27,21
27,37
27,38
27,39
28,1
28,17
28,19
28,21
28,37
28,39
29,1
29,2
29,7
29,13
29,17
29,19
29,21
29,27
29,47
29,52
30,1
30,2
30,5
30,13
30,17
30,21
30,24
30,27
30,37
30,47
30,52
31,2
31,3
31,4
31,7
31,16
31,46
32,1
32,2
32,4
32,5
32,6
32,16
32,17
32,18
32,21
32,37
32,47
33,1
33,2
33,4
33,5
33,16
33,17
33,21
33,39
33,47
34,1
34,2
34,21
34,39
34,47
35,2
35,3
35,4
35,14
35,16
35,17
35,29
35,52
36,2
36,3
36,6
36,7
36,11
36,12
36,16
36,17
36,48
36,52
37,2
37,16
37,17
37,18
37,53
38,1
38,2
38,3
38,6
38,7
38,17
38,48
38,53
39,7
39,9
39,18
39,28
39,31
39,32
39,48
40,9
40,10
40,11
40,17
40,23
40,49
40,50
40,51
40,54
41,2
41,9
41,10
41,11
41,12
41,17
41,28
41,31
42,2
42,9
42,10
42,23
42,25
42,41
42,42
42,49
42,50
42,51
42,54
43,2
43,9
43,10
43,23
43,28
43,30
43,31
43,42
43,51
43,54
44,2
44,8
44,9
44,11
44,19
44,23
44,50
45,2
45,6
45,7
45,9
45,10
45,12
45,19
45,53
45,54
46,1
46,2
46,3
46,4
46,7
46,19
46,29
47,2
47,7
47,11
47,12
47,17
47,18
47,39
47,52
47,53
48,1
48,2
48,3
48,4
48,6
48,11
48,18
48,19
48,29
48,53
48,54
49,1
49,2
49,3
49,7
49,49
50,8
50,12
50,21
50,28
50,31
51,1
51,3
51,4
51,9
51,11
51,12
51,16
51,21
52,2
52,9
52,11
52,34
52,35
52,53
53,8
53,12
53,17
53,18
53,19
54,7
54,16
54,19
54,35
54,46
55,1
55,2
55,3
55,4
55,9
55,17
55,20
55,29
55,32
55,37
55,52
56,17
56,37
56,40
57,1
57,3
57,4
57,7
57,9
57,10
57,17
57,24
57,32
57,51
58,8
58,9
58,19
58,28
58,31
58,49
58,53
59,14
59,17
59,20
59,22
59,32
59,33
59,34
59,37
59,40
59,45
59,48
60,14
60,17
60,19
60,20
60,32
60,33
60,34
60,35
60,36
60,40
60,43
60,45
61,2
61,7
61,9
61,10
61,12
61,24
61,31
62,1
62,6
62,13
62,16
62,20
62,27
62,52
63,2
63,24
63,25
63,31
63,41
63,49
64,3
64,29
64,36
64,43
65,2
65,8
65,32
65,39
65,45
